epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1328.22,3.39174,2.88138,0.83206,0.22659,0.10672,0.06752,0.01962,3.3107,2.4356,0.81536,0.0008516,0.0008516,0.0008516
60,1350.47,3.42502,2.90675,0.82684,0.34615,0.11301,0.08625,0.02011,3.46219,2.47698,0.81571,0.0008318,0.0008318,0.0008318
61,1372.9,3.4209,2.91253,0.83375,0.24068,0.04348,0.03199,0.0069,3.88097,2.6801,0.83035,0.000812,0.000812,0.000812
62,1394.47,3.42892,2.85321,0.8221,0.36895,0.10631,0.07943,0.02377,3.30205,2.32174,0.81708,0.0007922,0.0007922,0.0007922
63,1417.23,3.38639,2.84173,0.81972,0.33152,0.09486,0.07447,0.02081,3.50305,2.4261,0.81691,0.0007724,0.0007724,0.0007724
64,1439.62,3.30775,2.8298,0.81985,0.34386,0.09881,0.0802,0.02057,3.3793,2.3574,0.81227,0.0007526,0.0007526,0.0007526
65,1462.13,3.39691,2.80412,0.8298,0.34119,0.0751,0.07508,0.02428,3.32531,2.48564,0.81122,0.0007328,0.0007328,0.0007328
66,1484.01,3.31718,2.76434,0.83061,0.35354,0.10277,0.08201,0.02405,3.30318,2.27041,0.80709,0.000713,0.000713,0.000713
67,1506.6,3.244,2.77795,0.8109,0.32599,0.11067,0.08907,0.02647,3.32438,2.22859,0.8044,0.0006932,0.0006932,0.0006932
68,1528.94,3.26889,2.73067,0.82441,0.51883,0.10655,0.11008,0.03165,3.16442,2.37541,0.80607,0.0006734,0.0006734,0.0006734
69,1551.43,3.27401,2.75206,0.81882,0.3255,0.12018,0.10301,0.02619,3.33784,2.2454,0.8091,0.0006536,0.0006536,0.0006536
70,1573.31,3.26663,2.69859,0.81191,0.30305,0.12648,0.11449,0.03113,3.23551,2.25306,0.80603,0.0006338,0.0006338,0.0006338
71,1595.5,3.27402,2.78174,0.81609,0.36212,0.10672,0.11879,0.03414,3.22195,2.17407,0.80399,0.000614,0.000614,0.000614
72,1617.76,3.23396,2.63567,0.81203,0.33795,0.07115,0.09397,0.02808,3.20151,2.38572,0.80902,0.0005942,0.0005942,0.0005942
73,1639.81,3.1878,2.67973,0.82148,0.50718,0.10672,0.11527,0.03311,3.21127,2.14976,0.80814,0.0005744,0.0005744,0.0005744
74,1661.71,3.28477,2.67026,0.8129,0.38317,0.10672,0.11555,0.03192,3.21325,2.14457,0.80398,0.0005546,0.0005546,0.0005546
75,1683.87,3.14196,2.68122,0.80813,0.45696,0.09486,0.1231,0.03602,3.22108,2.18495,0.80344,0.0005348,0.0005348,0.0005348
76,1705.93,3.11825,2.62983,0.81207,0.45631,0.10277,0.10252,0.02933,3.26372,2.16682,0.81402,0.000515,0.000515,0.000515
77,1728.27,3.15463,2.5474,0.80705,0.39369,0.09486,0.11013,0.02895,3.29868,2.17259,0.80994,0.0004952,0.0004952,0.0004952
78,1750.31,3.12285,2.45105,0.81713,0.53028,0.11462,0.14254,0.04014,3.20452,2.07507,0.80468,0.0004754,0.0004754,0.0004754
79,1773.05,3.06313,2.54479,0.82353,0.40407,0.11858,0.13311,0.03405,3.23939,2.05417,0.80866,0.0004556,0.0004556,0.0004556
80,1795.42,3.2172,2.54641,0.81182,0.41289,0.11462,0.13392,0.03378,3.17679,2.02854,0.80333,0.0004358,0.0004358,0.0004358
81,1817.4,3.18995,2.5432,0.81449,0.51427,0.12648,0.13956,0.03701,3.31892,1.95414,0.81428,0.000416,0.000416,0.000416
82,1839.61,3.04784,2.37925,0.80756,0.46273,0.13043,0.13083,0.03256,3.24525,2.03634,0.80263,0.0003962,0.0003962,0.0003962
83,1861.81,3.0861,2.41776,0.80622,0.47537,0.12648,0.149,0.04606,3.03665,1.95417,0.79968,0.0003764,0.0003764,0.0003764
84,1884.76,3.06765,2.46321,0.80809,0.46243,0.14281,0.15491,0.04441,2.99724,1.96916,0.79973,0.0003566,0.0003566,0.0003566
85,1906.96,3.03508,2.36992,0.81075,0.46082,0.10474,0.13407,0.04282,3.09255,2.01089,0.79933,0.0003368,0.0003368,0.0003368
86,1928.78,3.14026,2.41943,0.80549,0.41019,0.11462,0.13013,0.04457,2.9712,1.99046,0.79713,0.000317,0.000317,0.000317
87,1950.65,3.00431,2.32988,0.80322,0.46409,0.13834,0.14708,0.04333,3.00832,1.88458,0.79766,0.0002972,0.0002972,0.0002972
88,1972.59,3.01487,2.38299,0.81299,0.40487,0.12253,0.1393,0.03988,3.08467,1.90549,0.80193,0.0002774,0.0002774,0.0002774
89,1995.02,3.07651,2.42007,0.80579,0.48778,0.12253,0.15269,0.04505,3.10914,1.95769,0.80046,0.0002576,0.0002576,0.0002576
90,2016.99,3.06543,2.47865,0.81097,0.48862,0.10954,0.15407,0.04399,3.17637,1.91285,0.80221,0.0002378,0.0002378,0.0002378
91,2040.55,3.01026,2.34962,0.82653,0.4811,0.12461,0.15672,0.04267,3.04601,1.99177,0.79725,0.000218,0.000218,0.000218
92,2062.5,2.92979,2.25001,0.82893,0.42195,0.13043,0.14175,0.03999,3.12361,1.98242,0.80046,0.0001982,0.0001982,0.0001982
93,2084.95,2.93526,2.25758,0.82238,0.48005,0.12253,0.13469,0.03998,3.12482,1.93538,0.804,0.0001784,0.0001784,0.0001784
94,2107.29,2.82132,2.14614,0.83725,0.45713,0.12253,0.15273,0.04557,3.09969,1.87026,0.79986,0.0001586,0.0001586,0.0001586
95,2129.56,2.90177,2.23877,0.82083,0.5443,0.13221,0.15067,0.04205,3.18349,1.95933,0.80426,0.0001388,0.0001388,0.0001388
96,2151.81,2.88003,2.18513,0.81274,0.50347,0.13834,0.15187,0.0431,3.00745,1.9112,0.79803,0.000119,0.000119,0.000119
97,2174.23,2.82089,2.13934,0.82532,0.50555,0.12253,0.13777,0.04132,3.13703,1.94595,0.80012,9.92e-05,9.92e-05,9.92e-05
98,2196.53,2.88235,2.21327,0.82422,0.47881,0.13043,0.15105,0.04488,3.09629,1.90373,0.80006,7.94e-05,7.94e-05,7.94e-05
99,2218.77,2.8671,2.08267,0.80544,0.48745,0.13534,0.15119,0.0416,3.1293,1.89554,0.80112,5.96e-05,5.96e-05,5.96e-05
100,2240.95,2.79546,2.0853,0.82424,0.47939,0.13043,0.1426,0.03972,3.13571,1.88853,0.801,3.98e-05,3.98e-05,3.98e-05
